USAF,WBAN,STATION NAME,CTRY,STATE,LAT,LON,Geocoded_City,Geocoded_County
722202,12985,GARNER FIELD AIRPORT,US,TX,29.211,-99.744,Uvalde,Uvalde County
722202,99999,GARNER FLD,US,TX,29.217,-99.75,Uvalde,Uvalde County
722209,12986,CALHOUN COUNTY AIRPORT,US,TX,28.654,-96.681,,Calhoun County
722209,99999,CALHOUN CO,US,TX,28.65,-96.683,,Calhoun County
722214,3070,MOORE COUNTY AIRPORT,US,TX,35.858,-102.013,,Moore County
722214,99999,MOORE CO,US,TX,35.858,-102.013,,Moore County
722231,357,HAMILTON MUNICIPAL AIRPORT,US,TX,31.666,-98.149,Hamilton,Hamilton County
722231,99999,HAMILTON MUNI,US,TX,31.666,-98.149,Hamilton,Hamilton County
722323,362,GATESVILLE MUNICIPAL AIRPORT,US,TX,31.417,-97.8,,Coryell County
722323,99999,CITY COUNTY,US,TX,31.421,-97.797,Gatesville,Coryell County
722324,3071,MIDLAND AIRPARK,US,TX,32.036,-102.101,Midland,Midland County
722324,99999,MIDLAND AIRPARK,US,TX,32.037,-102.101,Midland,Midland County
722337,99999,EAST ADDITION B323,US,TX,28.22,-93.75,,
722338,12994,JIM HOGG COUNTY AIRPORT,US,TX,27.349,-98.737,,Jim Hogg County
722338,99999,JIM HOGG CO,US,TX,27.35,-98.733,,Jim Hogg County
722351,12953,WHARTON REGIONAL AIRPORT,US,TX,29.266,-96.008,,Wharton County
722351,99999,WHARTON RGNL,US,TX,29.254,-96.154,Wharton,Wharton County
722362,93937,SULPHUR SPRINGS MUNICIPAL AIRPORT,US,TX,33.167,-95.617,Sulphur Springs,Hopkins County
722362,99999,SULPHER SPRINGS MUNI,US,TX,33.167,-95.617,Sulphur Springs,Hopkins County
722363,23098,EDWARDS COUNTY AIRPORT,US,TX,29.947,-100.173,,Edwards County
722363,99999,EDWARDS CO,US,TX,29.947,-100.174,,Edwards County
722369,365,T P MC CAMPBELL AIRPORT,US,TX,27.917,-97.2,,San Patricio County
722369,99999,INGLESIDE,US,TX,27.917,-97.2,,San Patricio County
722410,12917,SOUTHEAST TEXAS REGIONAL AIRPORT,US,TX,29.952,-94.026,,Jefferson County
722414,99999,SABINE PASS,US,TX,29.7,-93.95,Port Arthur,Jefferson County
722415,99999,SABINE PASS COAST GUARD STATION,US,TX,29.73,-93.87,Port Arthur,Jefferson County
722416,12971,NEW BRAUNFELS MUNICIPAL AP,US,TX,29.709,-98.046,New Braunfels,Guadalupe County
722420,12923,SCHOLES INTL AT GLSTON APT,US,TX,29.27,-94.864,Galveston,Galveston County
722420,99999,GALVESTON,US,TX,29.3,-94.8,Galveston,Galveston County
722422,12923,SCHOLES INTL AT GLSTON APT,US,TX,29.273,-94.859,Galveston,Galveston County
722423,12923,GALVESTON SCHOLES FIELD,US,TX,29.273,-94.859,Galveston,Galveston County
722423,99999,GALVESTON,US,TX,29.267,-94.867,Galveston,Galveston County
722425,99999,GALVESTON COAST GUARD STATION,US,TX,29.33,-94.77,Galveston,Galveston County
722426,99999,FREEPORT (SAWRS),US,TX,28.983,-95.317,,Brazoria County
722427,12975,CLOVER FIELD AIRPORT,US,TX,29.519,-95.242,,Brazoria County
722427,99999,PEARLAND RGNL,US,TX,29.517,-95.25,,Brazoria County
722429,53910,HOOKS MEMORIAL AIRPT,US,TX,30.068,-95.556,,Harris County
722429,99999,HOUSTON/D.W. HOOKS,US,TX,30.067,-95.55,,Harris County
722430,12960,G BUSH INTERCONTINENTAL AP/HOUSTON AP,US,TX,29.984,-95.361,Houston,Harris County
722433,99999,WEST HOUSTON,US,TX,29.818,-95.673,,Harris County
722435,12918,WILLIAM P HOBBY,US,TX,29.638,-95.282,Houston,Harris County
722435,99999,WILLIAM P HOBBY,US,TX,29.633,-95.267,Houston,Harris County
722436,12906,ELLINGTON FIELD AIRPORT,US,TX,29.617,-95.167,Houston,Harris County
722436,99999,HOUSTON/ELLINGTON,US,TX,29.6,-95.167,Houston,Harris County
722437,99999,FREEPORT COAST GUARD STATION,US,TX,28.95,-95.3,Surfside Beach,Brazoria County
722439,99999,SOUTH BRAZOS A70,US,TX,28.02,-95.87,,
722440,12918,WILLIAM P. HOBBY AIRPORT,US,TX,29.646,-95.282,Houston,Harris County
722444,53902,MONTGOMERY COUNTY AIRPORT,US,TX,30.361,-95.418,Conroe,Montgomery County
722444,99999,MONTGOMERY CO,US,TX,30.35,-95.417,Conroe,Montgomery County
722445,3904,EASTERWOOD FLD,US,TX,30.589,-96.365,College Station,Brazos County
722446,93987,ANGELINA COUNTY AIRPORT,US,TX,31.236,-94.755,,Angelina County
722447,3901,LONGVIEW,US,TX,32.385,-94.712,,Gregg County
722447,53903,HUNTSVILLE MUNICIPAL ARPT,US,TX,30.744,-95.587,Huntsville,Walker County
722447,99999,HUNTSVILLE,US,TX,30.733,-95.583,Huntsville,Walker County
722448,13972,TYLER POUNDS REGIONAL ARPT,US,TX,32.359,-95.404,Tyler,Smith County
722448,99999,TYLER POUNDS RGNL,US,TX,32.35,-95.4,Tyler,Smith County
